Joueur;Points;Victoires;Parties;Ratio
Nicolas;3010;71;129;55.04%
Enzo;1582;16;35;45.71%
Antoine;1153;25;43;58.14%
Killian;1014;54;109;49.54%
Tom;1012;38;80;47.50%
Rémi;671;23;50;46.00%
Caroline;149;18;39;46.15%
Heloise;26;1;2;50.00%
Clément;-98;35;73;47.95%
Tomm;-171;31;64;48.44%
Félix;-196;18;38;47.37%
Joel;-198;2;4;50.00%
Théophile;-1896;19;55;34.55%
Anthelme;-2810;37;101;36.63%
Alexis;-3248;30;68;44.12%
